Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Ct,St,Year
Mohammad Nabi,3.0,3.0,11.0,0.0,58.0,2.0,1/13,29.0,5.27,33.0,0.0,0.0,0.0,0.0,2017
Mohammed Shami,8.0,8.0,26.0,0.0,243.0,5.0,2/36,48.6,9.34,31.2,0.0,0.0,0.0,0.0,2017
Mohammed Siraj,6.0,6.0,23.0,0.0,212.0,10.0,4/32,21.2,9.21,13.8,1.0,0.0,1.0,0.0,2017
EJG Morgan,4.0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.0,2017
CH Morris,9.0,9.0,31.0,0.0,240.0,12.0,4/26,20.0,7.74,15.5,1.0,0.0,5.0,0.0,2017
Mustafizur Rahman,1.0,1.0,2.4,0.0,34.0,0.0,0,0,12.75,0,0.0,0.0,0.0,0.0,2017
S Nadeem,7.0,7.0,17.5,0.0,119.0,6.0,2/13,19.83,6.67,17.8,0.0,0.0,2.0,0.0,2017
KK Nair,14.0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,2017
SP Narine,16.0,15.0,59.0,0.0,412.0,10.0,2/29,41.2,6.98,35.4,0.0,0.0,4.0,0.0,2017
T Natarajan,6.0,6.0,12.4,0.0,115.0,2.0,1/26,57.5,9.07,38.0,0.0,0.0,0.0,0.0,2017
P Negi,12.0,12.0,32.1,0.0,197.0,16.0,3/10,12.31,6.12,12.0,0.0,0.0,3.0,0.0,2017
A Nehra,6.0,6.0,21.1,0.0,197.0,8.0,3/42,24.62,9.3,15.8,0.0,0.0,1.0,0.0,2017
NV Ojha,14.0,0,0,0,0,0,0,0,0,0,0,0,6.0,0.0,2017
MK Pandey,14.0,0,0,0,0,0,0,0,0,0,0,0,8.0,0.0,2017
HH Pandya,17.0,13.0,26.0,0.0,213.0,6.0,2/22,35.5,8.19,26.0,0.0,0.0,12.0,0.0,2017
KH Pandya,13.0,13.0,40.0,0.0,273.0,10.0,3/14,27.3,6.82,24.0,0.0,0.0,2.0,0.0,2017
RR Pant,14.0,0,0,0,0,0,0,0,0,0,0,0,8.0,3.0,2017
AR Patel,14.0,14.0,48.0,0.0,362.0,15.0,3/11,24.13,7.54,19.2,0.0,0.0,7.0,0.0,2017
HV Patel,1.0,1.0,4.0,0.0,43.0,3.0,3/43,14.33,10.75,8.0,0.0,0.0,0.0,0.0,2017
MM Patel,2.0,2.0,7.0,0.0,57.0,1.0,1/35,57.0,8.14,42.0,0.0,0.0,0.0,0.0,2017
PA Patel,16.0,0,0,0,0,0,0,0,0,0,0,0,6.0,2.0,2017
IK Pathan,1.0,1.0,2.0,0.0,26.0,0.0,0,0,13.0,0,0.0,0.0,0.0,0.0,2017
YK Pathan,15.0,4.0,4.0,0.0,41.0,1.0,1/2,41.0,10.25,24.0,0.0,0.0,2.0,0.0,2017
KA Pollard,17.0,1.0,1.5,0.0,30.0,0.0,0,0,16.36,0,0.0,0.0,15.0,0.0,2017
K Rabada,6.0,6.0,21.2,0.0,188.0,6.0,2/20,31.33,8.81,21.3,0.0,0.0,0.0,0.0,2017
AM Rahane,16.0,0,0,0,0,0,0,0,0,0,0,0,6.0,0.0,2017
SK Raina,14.0,6.0,12.0,0.0,102.0,1.0,1/11,102.0,8.5,72.0,0.0,0.0,4.0,0.0,2017
AS Rajpoot,5.0,5.0,14.0,0.0,107.0,4.0,3/37,26.75,7.64,21.0,0.0,0.0,1.0,0.0,2017
N Rana,13.0,0,0,0,0,0,0,0,0,0,0,0,4.0,0.0,2017
Rashid Khan,14.0,14.0,54.0,0.0,358.0,17.0,3/19,21.05,6.62,19.0,0.0,0.0,5.0,0.0,2017
AT Rayudu,5.0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.0,2017
JJ Roy,3.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,2017
Sachin Baby,3.0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,2017
WP Saha,14.0,0,0,0,0,0,0,0,0,0,0,0,10.0,2.0,2017
SV Samson,14.0,0,0,0,0,0,0,0,0,0,0,0,4.0,0.0,2017
MN Samuels,5.0,2.0,3.0,0.0,34.0,0.0,0,0,11.33,0,0.0,0.0,1.0,0.0,2017
Sandeep Sharma,13.0,13.0,48.0,0.0,398.0,17.0,4/20,23.41,8.29,16.9,1.0,0.0,3.0,0.0,2017
PJ Sangwan,5.0,5.0,18.0,0.0,181.0,5.0,2/38,36.2,10.05,21.6,0.0,0.0,0.0,0.0,2017
V Shankar,4.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,2017
Shakib Al Hasan,1.0,1.0,3.0,0.0,31.0,0.0,0,0,10.33,0,0.0,0.0,0.0,0.0,2017
I Sharma,6.0,6.0,18.0,0.0,179.0,0.0,0,0,9.94,0,0.0,0.0,0.0,0.0,2017
KV Sharma,9.0,9.0,30.4,0.0,214.0,13.0,4/16,16.46,6.97,14.1,1.0,0.0,3.0,0.0,2017
MM Sharma,14.0,14.0,45.4,0.0,410.0,13.0,2/24,31.53,8.97,21.0,0.0,0.0,3.0,0.0,2017
RG Sharma,17.0,0,0,0,0,0,0,0,0,0,0,0,10.0,0.0,2017
LMP Simmons,7.0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,2017
NB Singh,2.0,2.0,4.0,0.0,15.0,1.0,1/7,15.0,3.75,24.0,0.0,0.0,0.0,0.0,2017
DR Smith,12.0,9.0,13.0,0.0,148.0,2.0,1/10,74.0,11.38,39.0,0.0,0.0,3.0,0.0,2017
SPD Smith,15.0,0,0,0,0,0,0,0,0,0,0,0,7.0,0.0,2017
TG Southee,3.0,3.0,10.0,1.0,96.0,3.0,2/39,32.0,9.6,20.0,0.0,0.0,1.0,0.0,2017
BB Sran,1.0,1.0,2.0,0.0,29.0,0.0,0,0,14.5,0,0.0,0.0,0.0,0.0,2017
B Stanlake,2.0,2.0,8.0,0.0,70.0,2.0,2/29,35.0,8.75,24.0,0.0,0.0,1.0,0.0,2017
MP Stoinis,5.0,5.0,10.3,0.0,110.0,2.0,1/28,55.0,10.47,31.5,0.0,0.0,3.0,0.0,2017
BA Stokes,12.0,12.0,44.0,1.0,316.0,12.0,3/18,26.33,7.18,22.0,0.0,0.0,5.0,0.0,2017
Swapnil Singh,4.0,4.0,7.0,0.0,61.0,1.0,1/14,61.0,8.71,42.0,0.0,0.0,1.0,0.0,2017
AP Tare,3.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2017
Tejas Baroka,1.0,1.0,3.3,0.0,33.0,0.0,0,0,9.42,0,0.0,0.0,0.0,0.0,2017
R Tewatia,3.0,3.0,9.0,0.0,49.0,3.0,2/18,16.33,5.44,18.0,0.0,0.0,0.0,0.0,2017
SN Thakur,12.0,12.0,38.1,0.0,315.0,11.0,3/19,28.63,8.25,20.8,0.0,0.0,4.0,0.0,2017
MK Tiwary,15.0,0,0,0,0,0,0,0,0,0,0,0,6.0,0.0,2017
SS Tiwary,1.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2017
RA Tripathi,14.0,1.0,1.0,0.0,12.0,0.0,0,0,12.0,0,0.0,0.0,5.0,0.0,2017
AJ Tye,6.0,6.0,21.0,0.0,141.0,12.0,5/17,11.75,6.71,10.5,0.0,1.0,0.0,0.0,2017
JD Unadkat,12.0,12.0,45.5,3.0,322.0,24.0,5/30,13.41,7.02,11.4,0.0,1.0,9.0,0.0,2017
RV Uthappa,14.0,0,0,0,0,0,0,0,0,0,0,0,9.0,6.0,2017
R Vinay Kumar,1.0,1.0,3.0,0.0,31.0,2.0,2/31,15.5,10.33,9.0,0.0,0.0,0.0,0.0,2017
Vishnu Vinod,3.0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,2017
M Vohra,11.0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,2017
DA Warner,14.0,0,0,0,0,0,0,0,0,0,0,0,10.0,0.0,2017
Washington Sundar,11.0,10.0,30.0,0.0,185.0,8.0,3/16,23.12,6.16,22.5,0.0,0.0,5.0,0.0,2017
SR Watson,8.0,8.0,26.5,0.0,245.0,5.0,1/16,49.0,9.13,32.2,0.0,0.0,2.0,0.0,2017
KS Williamson,7.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,2017
CR Woakes,13.0,13.0,44.0,0.0,386.0,17.0,3/6,22.7,8.77,15.5,0.0,0.0,6.0,0.0,2017
J Yadav,2.0,2.0,6.0,0.0,42.0,0.0,0,0,7.0,0,0.0,0.0,0.0,0.0,2017
SA Yadav,10.0,0,0,0,0,0,0,0,0,0,0,0,5.0,0.0,2017
UT Yadav,14.0,14.0,48.3,0.0,410.0,17.0,4/33,24.11,8.45,17.1,1.0,0.0,4.0,0.0,2017
Yuvraj Singh,12.0,2.0,2.0,0.0,22.0,1.0,1/6,22.0,11.0,12.0,0.0,0.0,3.0,0.0,2017
A Zampa,6.0,6.0,19.5,0.0,163.0,7.0,2/22,23.28,8.21,17.0,0.0,0.0,0.0,0.0,2017
S Ladda,1.0,1.0,2.0,0.0,21.0,0.0,0,0,10.5,0,0.0,0.0,0.0,0.0,2016
VR Aaron,8.0,8.0,23.4,0.0,227.0,2.0,2/37,113.5,9.59,71.0,0.0,0.0,0.0,0.0,2016
KJ Abbott,5.0,5.0,16.0,0.0,177.0,2.0,1/38,88.5,11.06,48.0,0.0,0.0,0.0,0.0,2016
AD Nath,4.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2016
MA Agarwal,3.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2016
HM Amla,6.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2016
Ankit Sharma,3.0,3.0,11.0,0.0,84.0,1.0,1/27,84.0,7.63,66.0,0.0,0.0,1.0,0.0,2016
Anureet Singh,2.0,2.0,6.0,0.0,43.0,0.0,0,0,7.16,0,0.0,0.0,0.0,0.0,2016
S Aravind,9.0,9.0,29.1,0.0,216.0,11.0,2/18,19.63,7.4,15.9,0.0,0.0,3.0,0.0,2016
A Ashish Reddy,4.0,2.0,3.5,0.0,39.0,1.0,1/14,39.0,10.17,23.0,0.0,0.0,1.0,0.0,2016
M Ashwin,10.0,10.0,28.3,0.0,241.0,7.0,3/36,34.42,8.45,24.4,0.0,0.0,0.0,0.0,2016
R Ashwin,14.0,14.0,44.0,0.0,319.0,10.0,4/34,31.9,7.25,26.4,1.0,0.0,3.0,0.0,2016
GJ Bailey,6.0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,2016
F Behardien,3.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,2016
R Bhatia,10.0,10.0,34.0,1.0,244.0,6.0,2/19,40.66,7.17,34.0,0.0,0.0,2.0,0.0,2016
SW Billings,5.0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.0,2016
STR Binny,14.0,11.0,17.0,0.0,134.0,1.0,1/17,134.0,7.88,102.0,0.0,0.0,3.0,0.0,2016
Bipul Sharma,7.0,6.0,14.0,0.0,121.0,3.0,1/10,40.33,8.64,28.0,0.0,0.0,2.0,0.0,2016
SM Boland,2.0,2.0,7.0,0.0,54.0,2.0,2/31,27.0,7.71,21.0,0.0,0.0,0.0,0.0,2016
TA Boult,1.0,1.0,4.0,0.0,39.0,1.0,1/39,39.0,9.75,24.0,0.0,0.0,1.0,0.0,2016
CR Brathwaite,8.0,8.0,23.1,0.0,189.0,7.0,3/47,27.0,8.15,19.8,0.0,0.0,3.0,0.0,2016
DJ Bravo,15.0,15.0,56.0,0.0,494.0,17.0,4/22,29.05,8.82,19.7,1.0,0.0,6.0,0.0,2016
JJ Bumrah,14.0,14.0,52.0,0.0,406.0,15.0,3/13,27.06,7.8,20.8,0.0,0.0,1.0,0.0,2016
JC Buttler,14.0,0,0,0,0,0,0,0,0,0,0,0,7.0,0.0,2016
KC Cariappa,5.0,5.0,17.0,0.0,159.0,3.0,2/16,53.0,9.35,34.0,0.0,0.0,2.0,0.0,2016
YS Chahal,13.0,13.0,49.1,0.0,401.0,21.0,4/25,19.09,8.15,14.0,1.0,0.0,4.0,0.0,2016
DL Chahar,2.0,2.0,5.0,0.0,41.0,0.0,0,0,8.2,0,0.0,0.0,1.0,0.0,2016
UBT Chand,1.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2016
PP Chawla,12.0,11.0,35.2,0.0,273.0,11.0,2/21,24.81,7.72,19.2,0.0,0.0,3.0,0.0,2016
NM Coulter-Nile,4.0,4.0,15.0,0.0,114.0,3.0,2/25,38.0,7.6,30.0,0.0,0.0,0.0,0.0,2016
BCJ Cutting,4.0,4.0,11.1,0.0,80.0,5.0,2/20,16.0,7.16,13.4,0.0,0.0,1.0,0.0,2016
Q de Kock,13.0,0,0,0,0,0,0,0,0,0,0,0,2.0,2.0,2016
AB de Villiers,16.0,0,0,0,0,0,0,0,0,0,0,0,19.0,0.0,2016
R Dhawan,2.0,2.0,7.0,0.0,56.0,2.0,1/21,28.0,8.0,21.0,0.0,0.0,0.0,0.0,2016
S Dhawan,17.0,0,0,0,0,0,0,0,0,0,0,0,5.0,0.0,2016
MS Dhoni,14.0,0,0,0,0,0,0,0,0,0,0,0,8.0,4.0,2016
AB Dinda,9.0,9.0,30.3,2.0,231.0,11.0,3/20,21.0,7.57,16.6,0.0,0.0,0.0,0.0,2016
JP Duminy,10.0,5.0,7.0,0.0,55.0,2.0,1/4,27.5,7.85,21.0,0.0,0.0,3.0,0.0,2016
F du Plessis,6.0,0,0,0,0,0,0,0,0,0,0,0,4.0,0.0,2016
ER Dwivedi,4.0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,2016
JP Faulkner,7.0,7.0,17.0,0.0,167.0,2.0,1/23,83.5,9.82,51.0,0.0,0.0,3.0,0.0,2016
AJ Finch,13.0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.0,2016
G Gambhir,15.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,2016
CH Gayle,10.0,4.0,10.0,0.0,63.0,2.0,2/11,31.5,6.3,30.0,0.0,0.0,4.0,0.0,2016
S Gopal,1.0,1.0,3.0,0.0,18.0,0.0,0,0,6.0,0,0.0,0.0,0.0,0.0,2016
MJ Guptill,3.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2016
Gurkeerat Singh,7.0,3.0,4.0,0.0,31.0,2.0,2/15,15.5,7.75,12.0,0.0,0.0,5.0,0.0,2016
PSP Handscomb,2.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2016
Harbhajan Singh,14.0,14.0,49.0,0.0,392.0,9.0,2/29,43.55,8.0,32.6,0.0,0.0,4.0,0.0,2016
JW Hastings,2.0,2.0,6.4,1.0,37.0,2.0,2/6,18.5,5.55,20.0,0.0,0.0,0.0,0.0,2016
TM Head,3.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2016
MC Henriques,17.0,17.0,52.0,0.0,415.0,12.0,2/17,34.58,7.98,26.0,0.0,0.0,11.0,0.0,2016
GB Hogg,5.0,5.0,16.0,1.0,142.0,4.0,3/19,35.5,8.87,24.0,0.0,0.0,3.0,0.0,2016
JO Holder,4.0,4.0,13.0,0.0,103.0,2.0,2/33,51.5,7.92,39.0,0.0,0.0,0.0,0.0,2016
DJ Hooda,17.0,6.0,13.0,0.0,97.0,3.0,2/16,32.33,7.46,26.0,0.0,0.0,3.0,0.0,2016
Imran Tahir,4.0,4.0,16.0,0.0,138.0,5.0,3/24,27.6,8.62,19.2,0.0,0.0,0.0,0.0,2016
Iqbal Abdulla,8.0,8.0,25.0,0.0,213.0,6.0,3/40,35.5,8.52,25.0,0.0,0.0,4.0,0.0,2016
Ishan Kishan,5.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,2016
SS Iyer,6.0,0,0,0,0,0,0,0,0,0,0,0,4.0,0.0,2016
RA Jadeja,15.0,14.0,40.1,0.0,311.0,8.0,2/18,38.87,7.74,30.1,0.0,0.0,4.0,0.0,2016
KM Jadhav,4.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,2016
SB Jakati,6.0,6.0,20.0,0.0,178.0,2.0,1/13,89.0,8.9,60.0,0.0,0.0,4.0,0.0,2016
MG Johnson,3.0,3.0,11.0,0.0,106.0,2.0,1/35,53.0,9.63,33.0,0.0,0.0,1.0,0.0,2016
CJ Jordan,9.0,9.0,28.0,0.0,258.0,11.0,4/11,23.45,9.21,15.2,1.0,0.0,4.0,0.0,2016
KD Karthik,16.0,0,0,0,0,0,0,0,0,0,0,0,11.0,3.0,2016
S Kaushik,7.0,7.0,23.0,0.0,192.0,6.0,3/20,32.0,8.34,23.0,0.0,0.0,0.0,0.0,2016
SN Khan,5.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2016
Z Khan,12.0,12.0,43.4,1.0,337.0,10.0,3/21,33.7,7.71,26.2,0.0,0.0,0.0,0.0,2016
UT Khawaja,6.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,2016
V Kohli,16.0,1.0,1.0,0.0,13.0,0.0,0,0,13.0,0,0.0,0.0,6.0,0.0,2016
Kuldeep Yadav,3.0,3.0,12.0,0.0,100.0,6.0,3/35,16.66,8.33,12.0,0.0,0.0,1.0,0.0,2016
DS Kulkarni,14.0,14.0,49.0,4.0,364.0,18.0,4/14,20.22,7.42,16.3,1.0,0.0,2.0,0.0,2016
B Kumar,17.0,17.0,66.0,3.0,490.0,23.0,4/29,21.3,7.42,17.2,1.0,0.0,6.0,0.0,2016
P Kumar,16.0,16.0,51.3,2.0,401.0,9.0,2/19,44.55,7.78,34.3,0.0,0.0,2.0,0.0,2016
CA Lynn,2.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,2016
MJ McClenaghan,14.0,14.0,53.2,0.0,436.0,17.0,4/21,25.64,8.17,18.8,1.0,0.0,0.0,0.0,2016
BB McCullum,16.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2016
Mandeep Singh,1.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,2016
MR Marsh,3.0,3.0,9.0,0.0,45.0,4.0,2/14,11.25,5.0,13.5,0.0,0.0,0.0,0.0,2016
SE Marsh,6.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,2016
GJ Maxwell,11.0,7.0,9.0,0.0,80.0,0.0,0,0,8.88,0,0.0,0.0,3.0,0.0,2016
DA Miller,14.0,0,0,0,0,0,0,0,0,0,0,0,10.0,0.0,2016
AF Milne,1.0,1.0,4.0,0.0,43.0,1.0,1/43,43.0,10.75,24.0,0.0,0.0,1.0,0.0,2016
A Mishra,14.0,14.0,46.0,0.0,344.0,13.0,4/11,26.46,7.47,21.2,1.0,0.0,3.0,0.0,2016
Mohammed Shami,8.0,8.0,25.1,0.0,244.0,5.0,2/34,48.8,9.69,30.2,0.0,0.0,1.0,0.0,2016
EJG Morgan,7.0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.0,2016
JA Morkel,2.0,2.0,5.0,0.0,66.0,2.0,2/36,33.0,13.2,15.0,0.0,0.0,1.0,0.0,2016
M Morkel,10.0,10.0,35.3,0.0,297.0,10.0,2/27,29.7,8.36,21.3,0.0,0.0,0.0,0.0,2016
CH Morris,12.0,12.0,44.0,0.0,308.0,13.0,2/30,23.69,7.0,20.3,0.0,0.0,8.0,0.0,2016
C Munro,4.0,2.0,2.0,0.0,15.0,0.0,0,0,7.5,0,0.0,0.0,2.0,0.0,2016
Mustafizur Rahman,16.0,16.0,61.0,1.0,421.0,17.0,3/16,24.76,6.9,21.5,0.0,0.0,2.0,0.0,2016
S Nadeem,4.0,4.0,15.0,0.0,127.0,2.0,2/23,63.5,8.46,45.0,0.0,0.0,0.0,0.0,2016
NS Naik,2.0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,2016
KK Nair,14.0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.0,2016
SP Narine,11.0,11.0,42.4,0.0,304.0,11.0,3/26,27.63,7.12,23.2,0.0,0.0,2.0,0.0,2016
P Negi,8.0,5.0,9.0,0.0,84.0,1.0,1/19,84.0,9.33,54.0,0.0,0.0,2.0,0.0,2016
A Nehra,8.0,8.0,26.0,1.0,199.0,9.0,3/15,22.11,7.65,17.3,0.0,0.0,1.0,0.0,2016
NV Ojha,17.0,0,0,0,0,0,0,0,0,0,0,0,18.0,0.0,2016
MK Pandey,12.0,0,0,0,0,0,0,0,0,0,0,0,7.0,0.0,2016
HH Pandya,11.0,10.0,16.4,0.0,153.0,3.0,1/7,51.0,9.18,33.3,0.0,0.0,6.0,0.0,2016
KH Pandya,12.0,11.0,31.1,0.0,236.0,6.0,2/15,39.33,7.57,31.1,0.0,0.0,2.0,0.0,2016
RR Pant,10.0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.0,2016
Parvez Rasool,4.0,4.0,14.0,0.0,129.0,1.0,1/31,129.0,9.21,84.0,0.0,0.0,2.0,0.0,2016
AR Patel,14.0,14.0,47.5,0.0,388.0,13.0,4/21,29.84,8.11,22.0,1.0,0.0,2.0,0.0,2016
HV Patel,5.0,5.0,14.0,0.0,147.0,1.0,1/46,147.0,10.5,84.0,0.0,0.0,2.0,0.0,2016
PA Patel,10.0,0,0,0,0,0,0,0,0,0,0,0,9.0,1.0,2016
IK Pathan,4.0,3.0,8.0,0.0,61.0,0.0,0,0,7.62,0,0.0,0.0,1.0,0.0,2016
YK Pathan,15.0,4.0,6.0,0.0,33.0,1.0,1/6,33.0,5.5,36.0,0.0,0.0,3.0,0.0,2016
NLTC Perera,12.0,11.0,33.1,0.0,326.0,9.0,3/34,36.22,9.82,22.1,0.0,0.0,5.0,0.0,2016
KP Pietersen,4.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,2016
KA Pollard,13.0,4.0,6.0,0.0,81.0,0.0,0,0,13.5,0,0.0,0.0,5.0,0.0,2016
AM Rahane,14.0,0,0,0,0,0,0,0,0,0,0,0,7.0,0.0,2016
KL Rahul,14.0,0,0,0,0,0,0,0,0,0,0,0,5.0,4.0,2016
SK Raina,15.0,4.0,10.0,0.0,82.0,0.0,0,0,8.2,0,0.0,0.0,7.0,0.0,2016
AS Rajpoot,4.0,4.0,11.0,0.0,98.0,3.0,1/14,32.66,8.9,22.0,0.0,0.0,0.0,0.0,2016
N Rana,4.0,1.0,1.0,0.0,3.0,0.0,0,0,3.0,0,0.0,0.0,0.0,0.0,2016
AT Rayudu,13.0,0,0,0,0,0,0,0,0,0,0,0,4.0,0.0,2016
KW Richardson,4.0,4.0,14.0,0.0,136.0,7.0,3/13,19.42,9.71,12.0,0.0,0.0,2.0,0.0,2016
AD Russell,12.0,12.0,36.3,0.0,291.0,15.0,4/20,19.4,7.97,14.6,1.0,0.0,2.0,0.0,2016
Sachin Baby,11.0,2.0,1.4,0.0,8.0,2.0,2/4,4.0,4.8,5.0,0.0,0.0,1.0,0.0,2016
WP Saha,12.0,0,0,0,0,0,0,0,0,0,0,0,7.0,3.0,2016
P Sahu,5.0,5.0,17.3,0.0,146.0,3.0,2/18,48.66,8.34,35.0,0.0,0.0,0.0,0.0,2016
SV Samson,14.0,0,0,0,0,0,0,0,0,0,0,0,3.0,1.0,2016
Sandeep Sharma,14.0,14.0,50.0,1.0,366.0,15.0,2/11,24.4,7.32,20.0,0.0,0.0,2.0,0.0,2016
PJ Sangwan,2.0,2.0,4.0,0.0,49.0,0.0,0,0,12.25,0,0.0,0.0,1.0,0.0,2016
R Sathish,4.0,3.0,6.0,0.0,59.0,1.0,1/20,59.0,9.83,36.0,0.0,0.0,0.0,0.0,2016
T Shamsi,4.0,4.0,16.0,0.0,147.0,3.0,1/21,49.0,9.18,32.0,0.0,0.0,1.0,0.0,2016
Shakib Al Hasan,10.0,9.0,31.0,0.0,243.0,5.0,1/14,48.6,7.83,37.2,0.0,0.0,4.0,0.0,2016
I Sharma,4.0,4.0,15.0,0.0,148.0,3.0,2/36,49.33,9.86,30.0,0.0,0.0,2.0,0.0,2016
KV Sharma,5.0,5.0,16.2,0.0,171.0,0.0,0,0,10.46,0,0.0,0.0,0.0,0.0,2016
MM Sharma,14.0,14.0,48.3,0.0,407.0,13.0,3/23,31.3,8.39,22.3,0.0,0.0,3.0,0.0,2016
RG Sharma,14.0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,2016
LMP Simmons,1.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2016
RP Singh,4.0,4.0,12.0,0.0,111.0,3.0,1/23,37.0,9.25,24.0,0.0,0.0,0.0,0.0,2016
DR Smith,12.0,8.0,18.0,0.0,153.0,8.0,4/8,19.12,8.5,13.5,1.0,0.0,7.0,0.0,2016
SPD Smith,8.0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,2016
TG Southee,11.0,11.0,43.0,0.0,329.0,9.0,3/24,36.55,7.65,28.6,0.0,0.0,4.0,0.0,2016
BB Sran,14.0,14.0,49.3,0.0,413.0,14.0,3/28,29.5,8.34,21.2,0.0,0.0,2.0,0.0,2016
DW Steyn,1.0,1.0,2.0,0.0,17.0,0.0,0,0,8.5,0,0.0,0.0,0.0,0.0,2016
MP Stoinis,7.0,7.0,23.0,0.0,194.0,8.0,4/15,24.25,8.43,17.2,1.0,0.0,0.0,0.0,2016
J Suchith,1.0,1.0,2.0,0.0,31.0,0.0,0,0,15.5,0,0.0,0.0,0.0,0.0,2016
Swapnil Singh,1.0,1.0,3.0,0.0,29.0,0.0,0,0,9.66,0,0.0,0.0,0.0,0.0,2016
PV Tambe,7.0,7.0,16.0,0.0,143.0,5.0,2/12,28.6,8.93,19.2,0.0,0.0,1.0,0.0,2016
AP Tare,3.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,2016
SS Tiwary,10.0,0,0,0,0,0,0,0,0,0,0,0,4.0,0.0,2016
JD Unadkat,1.0,1.0,3.0,0.0,49.0,0.0,0,0,16.33,0,0.0,0.0,0.0,0.0,2016
RV Uthappa,15.0,0,0,0,0,0,0,0,0,0,0,0,10.0,4.0,2016
M Vijay,14.0,1.0,1.0,0.0,8.0,0.0,0,0,8.0,0,0.0,0.0,2.0,0.0,2016
R Vinay Kumar,3.0,3.0,9.0,1.0,64.0,3.0,2/17,21.33,7.11,18.0,0.0,0.0,0.0,0.0,2016
M Vohra,7.0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.0,2016
DA Warner,17.0,0,0,0,0,0,0,0,0,0,0,0,4.0,0.0,2016
SR Watson,16.0,16.0,56.3,0.0,485.0,20.0,4/29,24.25,8.58,16.9,1.0,0.0,6.0,0.0,2016
D Wiese,1.0,1.0,4.0,0.0,49.0,0.0,0,0,12.25,0,0.0,0.0,1.0,0.0,2016
KS Williamson,6.0,1.0,1.0,0.0,7.0,0.0,0,0,7.0,0,0.0,0.0,5.0,0.0,2016
J Yadav,5.0,5.0,17.0,0.0,125.0,2.0,1/23,62.5,7.35,51.0,0.0,0.0,1.0,0.0,2016
SA Yadav,15.0,0,0,0,0,0,0,0,0,0,0,0,6.0,0.0,2016
UT Yadav,9.0,9.0,26.0,0.0,234.0,10.0,3/28,23.4,9.0,15.6,0.0,0.0,1.0,0.0,2016
Yuvraj Singh,10.0,5.0,6.1,0.0,52.0,0.0,0,0,8.43,0,0.0,0.0,1.0,0.0,2016
A Zampa,5.0,5.0,17.0,0.0,115.0,12.0,6/19,9.58,6.76,8.5,0.0,1.0,0.0,0.0,2016
VR Aaron,6.0,5.0,17.2,0.0,177.0,3.0,2/24,59.0,10.21,34.6,0.0,0.0,1.0,0.0,2015
SA Abbott,2.0,2.0,5.0,0.0,57.0,0.0,0,0,11.4,0,0.0,0.0,0.0,0.0,2015
MA Agarwal,10.0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.0,2015
